block_id,delegator,validator,validator_name,votes,created_at,datetime,day
24846446,hxbc89a8b1f8d0319d3a8fa16315b73c6d3555a6e9,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,1.4198,1601741247,2020-10-03 16:07:27,Sat
24841353,hx4b03d97b91bc4d13d271ee97c8571141baca6cd0,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,1240.3078,1601730968,2020-10-03 13:16:08,Sat
24738028,hxa0db3ec32d408a29781b4b2f82339fae81635f10,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,13.9907,1601522343,2020-10-01 03:19:03,Thu
24701804,hxa2180df8c2b3fda4bc876c9b3ed40e2eb0e8c109,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,-1021.278402380296093696,1601449257,2020-09-30 07:00:57,Wed
24699886,hx6101f95d4b0cd2b1d4811e02e67873c06f912e7d,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,22.3844,1601445390,2020-09-30 05:56:30,Wed
24686304,hxa2180df8c2b3fda4bc876c9b3ed40e2eb0e8c109,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,1021.278402380296093696,1601417997,2020-09-29 22:19:57,Tue
24625109,hx58138d36b480414de17a1c91d4853e099072af69,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,10,1601294496,2020-09-28 12:01:36,Mon
24604035,hxca133013cffc26672ad47a14522d52c44c8437c1,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,22.4944,1601251972,2020-09-28 00:12:52,Mon
24405982,hx66279886a7dc84b901c30f2a3421201896b7e008,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,-0.4378,1600850949,2020-09-23 08:49:09,Wed
24387593,hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,10.7632,1600813783,2020-09-22 22:29:43,Tue
24387508,hx66279886a7dc84b901c30f2a3421201896b7e008,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,0.4378,1600813612,2020-09-22 22:26:52,Tue
24350168,hxc9838544da5b94cbf33fa4155bcd246d3059a5ac,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,115.4227,1600738252,2020-09-22 01:30:52,Tue
24349419,hx6bbfa9feb27746616afecef44b78dcf97566dd24,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,16.4907,1600736736,2020-09-22 01:05:36,Tue
24326491,hx6d8392791541e9e4761c93531ec2af661e84558e,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,58.466921409238669312,1600690457,2020-09-21 12:14:17,Mon
24319462,hx04cdf480446aaf269c34de501f2954b825bd42fa,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,-6004.2135,1600676272,2020-09-21 08:17:52,Mon
24319418,hx04cdf480446aaf269c34de501f2954b825bd42fa,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,6004.2135,1600676183,2020-09-21 08:16:23,Mon
24319345,hx04cdf480446aaf269c34de501f2954b825bd42fa,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,-4618.6258,1600676036,2020-09-21 08:13:56,Mon
24231322,hxb0d886f01ca2697ce9961232a754bb3923142128,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,157.7947,1600498354,2020-09-19 06:52:34,Sat
24188853,hxb148eb25aa1062727fa44eb950f3dfb15145829f,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,363.8535,1600412569,2020-09-18 07:02:49,Fri
24188833,hxb148eb25aa1062727fa44eb950f3dfb15145829f,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,528.6449,1600412528,2020-09-18 07:02:08,Fri
24172987,hx31353603fb6a7943652efa55ea833aa3b549e35f,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,10,1600380149,2020-09-17 22:02:29,Thu
24147341,hx75f6fa7af0f4fe03813399399996fedb050b243e,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,480,1600328257,2020-09-17 07:37:37,Thu
24109219,hx75f6fa7af0f4fe03813399399996fedb050b243e,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,20,1600251272,2020-09-16 10:14:32,Wed
24091733,hx04cdf480446aaf269c34de501f2954b825bd42fa,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,4618.6258,1600215961,2020-09-16 00:26:01,Wed
24082255,hx1936b0e1183a2d9f2a1e9bd6caa60010567da497,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,99.166,1600196810,2020-09-15 19:06:50,Tue
24060368,hxfb282d3b0ea75e304854ca5b68de700175f090c8,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,10,1600152632,2020-09-15 06:50:32,Tue
23981640,hxb148eb25aa1062727fa44eb950f3dfb15145829f,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,87.565,1599993672,2020-09-13 10:41:12,Sun
23919129,hx1396b4c91a0c2e4e70d0548c5278f7b03295ce00,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,538.7207,1599867303,2020-09-11 23:35:03,Fri
23903365,hxb148eb25aa1062727fa44eb950f3dfb15145829f,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,17.3822,1599835474,2020-09-11 14:44:34,Fri
23888483,hx58138d36b480414de17a1c91d4853e099072af69,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,500,1599805415,2020-09-11 06:23:35,Fri
23833343,hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,9.5978,1599694008,2020-09-09 23:26:48,Wed
23812087,hx1396b4c91a0c2e4e70d0548c5278f7b03295ce00,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,3724.3638,1599651091,2020-09-09 11:31:31,Wed
23801357,hxca133013cffc26672ad47a14522d52c44c8437c1,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,660.8893,1599629329,2020-09-09 05:28:49,Wed
23774351,hxb148eb25aa1062727fa44eb950f3dfb15145829f,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,17.4039,1599574448,2020-09-08 14:14:08,Tue
23633884,hx90f897e495ef5b3ac54daa5898709d9a26bb8aab,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,11.2457,1599289337,2020-09-05 07:02:17,Sat
23627669,hx18db8c2d966f0e80480bab5e47d1ebbe49731ae1,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,1200,1599276793,2020-09-05 03:33:13,Sat
23596698,hx4ea94d309b02158f41850a7d00b8a87f78817f20,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,73.8802,1599214259,2020-09-04 10:10:59,Fri
23561075,hxb148eb25aa1062727fa44eb950f3dfb15145829f,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,48.0393,1599142286,2020-09-03 14:11:26,Thu
23558532,hx613c719bc9cbda72b125d0ccabb8e3eb95ff8945,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,-3,1599137150,2020-09-03 12:45:50,Thu
23514523,hxb148eb25aa1062727fa44eb950f3dfb15145829f,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,17.7578,1599048236,2020-09-02 12:03:56,Wed
23513471,hx6d8392791541e9e4761c93531ec2af661e84558e,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,88.0963425,1599046110,2020-09-02 11:28:30,Wed
23505440,hxcc1708916dcad91cbbb4a11fa5e2dfe219cb585e,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,154.7506,1599029832,2020-09-02 06:57:12,Wed
23502239,hxc7bf6dd4cbafe74a0e9210af8cd60054890addf6,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,160,1599023375,2020-09-02 05:09:35,Wed
